Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
T1,23/09/16,Antalyaspor,Akhisar Belediyespor,0,0,D,0,0,D,2.4,3.1,3.1,2.25,3.1,3.2,2.1,3.3,3.1,2.4,3.1,3,2.54,3.24,3.1,2.2,3.2,3.2,2.45,3.13,3,55,2.54,2.39,3.3,3.12,3.25,3.05,36,2.35,2.23,1.67,1.61,28,-0.25,2.15,2.06,1.82,1.77,2.69,3.1,3.02
T1,24/09/16,Besiktas,Galatasaray,2,2,D,0,2,A,1.91,3.5,4,1.91,3.3,3.9,2.1,3.3,3.1,1.85,3.6,3.8,1.91,3.87,4.12,1.91,3.6,3.6,1.87,3.8,3.8,55,2.1,1.89,3.87,3.6,4.12,3.83,39,1.73,1.67,2.25,2.13,27,-0.5,1.93,1.88,2,1.93,1.93,3.75,4.21
T1,24/09/16,Buyuksehyr,Osmanlispor,2,2,D,0,1,A,2.05,3.4,3.6,1.95,3.3,3.75,2,3.3,3.3,2.1,3.25,3.5,2.18,3.39,3.68,2,3.3,3.6,2.1,3.4,3.5,54,2.2,2.1,3.42,3.28,3.72,3.47,40,2.19,2.07,1.8,1.72,27,-0.25,1.88,1.81,2.09,2.01,2.54,3.32,3.03
T1,24/09/16,Trabzonspor,Konyaspor,1,0,H,0,0,D,2.25,3.25,3.2,2.3,3.3,2.9,2.2,3.2,3,2.3,3.25,3.1,2.35,3.37,3.3,2.2,3.2,3.2,2.3,3.3,3.1,55,2.37,2.27,3.37,3.23,3.3,3.14,41,2.19,2.06,1.8,1.72,27,-0.25,2.04,1.97,1.9,1.84,2.42,3.32,3.22
T1,25/09/16,Bursaspor,Kasimpasa,1,0,H,0,0,D,1.65,3.5,5.75,1.62,3.75,5,1.75,3.4,4.3,1.62,3.8,5.25,1.66,4.06,5.66,1.7,3.8,4.4,1.65,4,5,54,1.75,1.64,4.09,3.84,6,5.1,39,1.76,1.7,2.23,2.1,25,-0.75,1.9,1.81,2.1,2.02,1.78,3.9,4.87
T1,25/09/16,Fenerbahce,Gaziantepspor,2,1,H,1,0,H,1.2,6.5,13,1.2,6.25,11.5,1.22,6,10,1.2,6.5,13,1.23,6.9,15,1.18,6.5,13,1.18,7,15,54,1.26,1.2,7.05,6.41,16,13.58,35,1.53,1.5,1.65,1.59,29,-2,2.09,2.01,2.61,2.49,1.22,7.1,15
T1,25/09/16,Genclerbirligi,Karabukspor,2,0,H,0,0,D,2.05,3.2,3.8,2,3.4,3.5,2.1,3.3,3.1,2.1,3.3,3.5,2.14,3.45,3.74,2.1,3.25,3.4,2.1,3.4,3.5,54,2.18,2.1,3.45,3.29,3.8,3.48,40,2.16,2.06,1.8,1.73,26,-0.25,1.88,1.82,2.09,2.01,1.97,3.49,4.32
T1,25/09/16,Kayserispor,Rizespor,2,1,H,2,0,H,1.73,3.5,5,1.83,3.5,4.1,1.8,3.4,4,1.75,3.4,4.75,1.85,3.57,4.9,1.8,3.4,4.33,1.8,3.5,4.6,55,1.84,1.77,3.63,3.45,5.11,4.7,35,2.24,2.14,1.73,1.67,26,-0.75,2.12,2.03,1.83,1.79,1.83,3.6,4.95
T1,26/09/16,Adanaspor,Alanyaspor,3,2,H,2,1,H,2.75,3.3,2.5,2.6,3.3,2.55,2.6,3.2,2.5,2.75,3.2,2.6,2.85,3.32,2.68,2.7,3.1,2.6,2.75,3.3,2.55,52,2.85,2.71,3.35,3.21,2.7,2.57,38,2.11,2.02,1.83,1.74,26,0,2.04,1.95,1.93,1.85,3.26,3.21,2.46
T1,30/09/16,Akhisar Belediyespor,Genclerbirligi,0,0,D,0,0,D,2.45,3.2,2.88,2.35,3.2,2.9,2.4,3.2,2.7,2.5,3,2.9,2.7,3.11,3,2.5,3.1,2.8,2.55,3.1,2.88,56,2.7,2.5,3.2,3.08,3.1,2.92,44,2.42,2.32,1.65,1.57,30,0,1.89,1.78,2.13,2.03,2.77,3.06,2.97
T1,01/10/16,Gaziantepspor,Bursaspor,3,2,H,1,1,D,3.75,3.4,2,3.7,3.5,1.9,3.3,3.3,2,3.5,3.4,2.05,3.73,3.56,2.1,3.4,3.5,2,3.5,3.5,2.05,56,3.78,3.58,3.56,3.38,2.1,2.04,50,2,1.88,1.98,1.89,29,0.5,1.87,1.79,2.12,2.03,2.68,3.35,2.82
T1,01/10/16,Karabukspor,Trabzonspor,4,0,H,0,0,D,2.7,3.1,2.7,2.5,3.2,2.7,2.6,3.1,2.6,2.8,3,2.62,2.9,3.19,2.73,2.6,3.2,2.62,2.7,3.25,2.6,56,2.9,2.71,3.3,3.13,2.73,2.63,49,2.26,2.13,1.75,1.68,31,0,2.03,1.94,1.94,1.86,2.71,3.28,2.84
T1,01/10/16,Kasimpasa,Kayserispor,3,1,H,0,1,A,2.63,3.4,2.55,2.55,3.2,2.65,2.6,3.2,2.5,2.62,3.3,2.62,2.73,3.48,2.7,2.6,3.4,2.5,2.63,3.4,2.6,55,2.85,2.66,3.48,3.31,2.7,2.57,49,1.87,1.79,2.09,1.99,31,0,1.99,1.92,1.96,1.88,2.44,3.14,3.37
T1,01/10/16,Rizespor,Besiktas,0,1,A,0,0,D,7,4,1.5,6,4.1,1.5,5.7,3.8,1.5,5.75,4.2,1.55,6.32,4.36,1.57,5.5,4,1.55,5.75,4.3,1.53,56,7,5.88,4.4,4.07,1.63,1.54,42,1.7,1.64,2.26,2.18,33,1,1.98,1.89,1.98,1.92,5.38,3.58,1.79
T1,02/10/16,Alanyaspor,Buyuksehyr,0,5,A,0,1,A,3.5,3.3,2.1,3.5,3.3,2.05,3.1,3.3,2.1,3.4,3.3,2.15,3.59,3.47,2.18,3.2,3.2,2.2,3.3,3.4,2.15,54,3.6,3.38,3.47,3.3,2.22,2.13,48,2.06,1.97,1.88,1.8,29,0.25,2.04,1.97,1.93,1.85,3.32,3.19,2.43
T1,02/10/16,Galatasaray,Antalyaspor,3,1,H,0,1,A,1.4,4.5,7.5,1.45,4.25,6.25,1.45,3.9,6.5,1.4,4.5,7,1.43,5.03,7.77,1.44,4.5,6,1.4,4.8,7.5,55,1.5,1.42,5.03,4.55,7.77,6.98,42,1.62,1.56,2.47,2.33,30,-1,1.73,1.68,2.32,2.18,1.52,4.76,6.33
T1,02/10/16,Konyaspor,Adanaspor,1,0,H,0,0,D,1.5,3.75,7.5,1.55,3.75,6,1.5,3.8,5.7,1.5,4,7,1.51,4.34,7.6,1.53,3.8,6,1.5,4.1,6.5,54,1.58,1.5,4.34,3.99,7.6,6.61,48,2,1.9,1.96,1.86,30,-1,1.91,1.86,2.07,1.96,1.72,3.85,5.42
T1,02/10/16,Osmanlispor,Fenerbahce,1,1,D,1,0,H,2.9,3.25,2.4,3,3.3,2.25,3,3.2,2.2,3,3.3,2.38,3.18,3.38,2.42,2.8,3.3,2.38,3,3.3,2.38,55,3.2,2.98,3.4,3.25,2.45,2.36,49,1.98,1.89,1.96,1.87,29,0.25,1.85,1.8,2.11,2.03,3.57,3.4,2.22
