Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SP1,21/09/16,Granada,Ath Bilbao,1,2,A,1,1,D,13,13,2,8,8,9,6,3,1,0,0,0,4.5,3.5,1.85,4,3.6,1.91,3.8,3.4,2,4,3.5,1.91,4.22,3.63,1.97,4.33,3.2,1.91,4.2,3.6,1.95,56,4.5,4.17,3.65,3.47,2,1.92,43,2.1,2.02,1.87,1.78,29,0.75,1.75,1.71,2.28,2.19,4.33,3.63,1.94
SP1,21/09/16,Real Madrid,Villarreal,1,1,D,0,1,A,22,8,6,3,9,9,17,3,4,1,0,0,1.2,7,15,1.25,6.5,10.5,1.2,6.5,15,1.22,6.5,13,1.23,7.32,14.5,1.25,5.5,13,1.22,7,13,56,1.28,1.22,7.45,6.51,15,13.02,38,1.47,1.44,2.9,2.76,34,-2,2.1,2.02,1.89,1.83,1.26,6.77,12.24
SP1,21/09/16,Sociedad,Las Palmas,4,1,H,3,0,H,17,8,7,3,3,7,7,4,1,2,0,1,2,3.5,3.75,2.05,3.4,3.7,2,3.3,3.9,1.95,3.4,3.8,2.03,3.64,3.98,2.05,3.4,3.6,2,3.6,3.9,56,2.1,2.01,3.65,3.46,4,3.79,44,1.95,1.86,2.01,1.93,29,-0.5,2.04,1.99,1.91,1.85,1.88,3.65,4.67
SP1,22/09/16,La Coruna,Leganes,1,2,A,1,0,H,12,8,5,2,20,18,7,1,0,3,0,0,2.15,3.25,3.6,2.15,3.1,3.75,2,3.2,4.1,2.1,3.1,3.6,2.19,3.29,3.84,2.15,3.1,3.75,2.1,3.2,3.75,55,2.2,2.13,3.33,3.18,4.1,3.73,38,2.55,2.43,1.59,1.53,29,-0.25,1.88,1.82,2.08,2.04,2.26,3.2,3.77
SP1,22/09/16,Osasuna,Espanol,1,2,A,0,1,A,17,10,11,2,16,14,7,1,2,1,0,0,2.88,3.2,2.6,2.95,3.2,2.5,2.65,3.3,2.65,2.9,3.1,2.5,3.01,3.23,2.64,2.9,3.1,2.5,2.88,3.25,2.55,55,3.03,2.91,3.3,3.16,2.66,2.55,43,2.28,2.18,1.71,1.66,30,0,2.1,2.04,1.85,1.81,3.36,3.23,2.42
SP1,22/09/16,Valencia,Alaves,2,1,H,1,1,D,12,8,2,1,14,13,7,4,2,3,0,0,1.57,3.75,6,1.55,4,6.5,1.75,3.8,4.5,1.55,3.8,6,1.57,4.25,6.66,1.62,3.8,5.5,1.55,4.2,6,55,1.75,1.58,4.29,4.01,6.66,5.97,43,1.91,1.85,2.01,1.93,33,-1,2.03,1.97,1.92,1.87,1.55,4.4,6.73
SP1,23/09/16,Betis,Malaga,1,0,H,1,0,H,11,16,4,6,20,15,6,5,4,6,0,0,2.6,3.1,2.9,2.55,3.2,2.9,2.55,3.15,2.9,2.6,3.1,2.8,2.69,3.23,2.95,2.7,3.2,2.8,2.63,3.2,2.9,55,2.73,2.62,3.28,3.16,3,2.87,43,2.3,2.17,1.75,1.68,31,0.25,1.65,1.59,2.5,2.41,2.57,3.25,3.09
SP1,24/09/16,Ath Bilbao,Sevilla,3,1,H,1,0,H,14,5,7,2,9,9,4,5,2,2,0,1,2.05,3.4,3.75,2.1,3.3,3.7,2.1,3.4,3.5,2,3.4,3.6,2.09,3.61,3.78,2.1,3.4,3.75,2.1,3.6,3.6,55,2.14,2.06,3.65,3.49,3.8,3.6,43,1.95,1.84,2.02,1.94,29,-0.5,2.11,2.06,1.85,1.8,1.99,3.47,4.38
SP1,24/09/16,Eibar,Sociedad,2,0,H,0,0,D,17,3,3,0,15,13,5,3,4,2,0,1,2.45,3.2,3,2.55,3.1,2.95,2.6,3.2,2.8,2.5,3.1,2.9,2.58,3.24,3.09,2.62,3.2,2.9,2.55,3.3,3,56,2.64,2.55,3.3,3.19,3.09,2.92,43,2.32,2.21,1.72,1.65,31,0.25,1.6,1.56,2.62,2.47,2.75,3.24,2.88
SP1,24/09/16,Las Palmas,Real Madrid,2,2,D,1,1,D,8,27,6,11,7,19,0,5,3,2,0,0,8.5,5,1.36,8.75,5.25,1.34,8,5,1.37,7,5,1.36,8.22,5.43,1.4,8,5.5,1.36,8,5.5,1.36,55,8.75,7.87,5.63,5.17,1.43,1.37,36,1.43,1.39,3.2,2.88,33,1.5,1.92,1.87,2.12,1.99,9.15,5.8,1.35
SP1,24/09/16,Sp Gijon,Barcelona,0,5,A,0,2,A,10,13,3,7,15,10,4,3,1,0,1,0,13,6.5,1.22,11.5,5.75,1.26,9.5,5.5,1.3,10,5.75,1.29,12.3,6.25,1.28,10,6,1.29,11,6.25,1.29,54,13,10.97,6.5,5.9,1.33,1.27,36,1.53,1.48,2.75,2.58,33,2,1.68,1.64,2.38,2.3,12.93,6.79,1.26
